Number,Date,Payee,Payment,Deposit,Memo,Category,Unknown,
,29/01/2005 00:00:00,Vetements,17.97,,,Habillement,X
,31/01/2005 00:00:00,URSSAF,86.10,,,Logement:Menage,X
,31/01/2005 00:00:00,Escota,112.26,,,Transports,X
,31/01/2005 00:00:00,Deplacement,,53.95,,Frais professionnels:Rembourses,X
,31/01/2005 00:00:00,RSI,,2632.41,,Traitements et salaires:Salaire net,X
,31/01/2005 00:00:00,Unilog,,2689.32,,Traitements et salaires:Salaire net,X
,31/01/2005 00:00:00,?,30.00,,ACE Insurance,Assurance,X
,31/01/2005 00:00:00,Parking,5.80,,,Parking,X
,01/02/2005 00:00:00,Solendi,70.18,,,Factures:Remboursement de pret immobilier,X
,01/02/2005 00:00:00,prets,484.00,,,Impots:Impot sur le revenu,X
,01/02/2005 00:00:00,prets fonciers,48.00,,,Impots:Impots locaux,X
,01/02/2005 00:00:00,GDF,98.00,,,Factures,X
,01/02/2005 00:00:00,GMF,111.64,,,Assurance:Automobile,X
,01/02/2005 00:00:00,UMM,17.00,,,Factures:Portable,X
,01/02/2005 00:00:00,CAF,,147.43,,Autres revenus:Allocations familiales,X
,01/02/2005 00:00:00,Bnp,10.85,,,Frais bancaires,X
,01/02/2005 00:00:00,Aipal,27.58,,,Factures:Autre remboursement de pret,X
,01/02/2005 00:00:00,UMM,15.00,,,Factures:Portable,X
,01/02/2005 00:00:00,SFR,16.00,,,Factures:Portable,X
,01/02/2005 00:00:00,Bnp,911.11,,,Factures:Remboursement de pret immobilier,X
,01/02/2005 00:00:00,Restau,60.00,,,Restaurant,X
,01/02/2005 00:00:00,Leclerc,22.38,,,Alimentation,X
,02/02/2005 00:00:00,Bnp,1.00,,,Frais bancaires,X
,03/02/2005 00:00:00,Castorama,78.86,,,Travaux,X
,03/02/2005 00:00:00,Kenin,22.00,,,Loisirs-culture:Manifestations sportives,X
,04/02/2005 00:00:00,ACE Assurance,10.50,,,Assurance,X
,04/02/2005 00:00:00,ACE Assurance,16.50,,,Assurance,X
,04/02/2005 00:00:00,Duniau,40.00,,,Enfants:Etudes,X
,04/02/2005 00:00:00,Especes,100.00,,SG,Retrait d especes,X
,05/02/2005 00:00:00,Leclerc,77.39,,,Alimentation,X
,05/02/2005 00:00:00,Leclerc,34.62,,,Alimentation,X
,07/02/2005 00:00:00,Conforama,446.90,,,Logement:equipement du logement,X
,08/02/2005 00:00:00,Leclerc,192.19,,,Alimentation,X
,08/02/2005 00:00:00,Especes,120.00,,Caisse Epargne,Retrait d especes,X
,09/02/2005 00:00:00,Ski,11.00,,,Vacances:Voyage,X
,11/02/2005 00:00:00,Coiffeur,45.00,,,Coiffeur-Estheticienne,X
,11/02/2005 00:00:00,Ski,81.00,,,Vacances:Voyage,X
,11/02/2005 00:00:00,Celio,51.00,,,Habillement,X
,11/02/2005 00:00:00,Baudry,110.00,,,Logement:Menage,X
,12/02/2005 00:00:00,Geant,51.31,,,Alimentation:Epicerie,X
,12/02/2005 00:00:00,Picard,12.15,,,Alimentation,X
,14/02/2005 00:00:00,Riba,24.40,,,Sante,X
